name,tracking,assetSize
农业ETF嘉实(516550),中证大农业指数,1.59
高股息ETF(563180),中证高股息策略指数,1.59
港股金融ETF(513140),中证港股通金融服务指数,1.57
民企300ETF前海开源(159106),中证民企300指数,1.55
超大盘ETF博时(510020),上证超级大盘指数,1.53
电信ETF易方达(563010),中证电信主题指数,1.52
沪深300价值ETF银华(562320),沪深300价值指数,1.49
软件ETF华安(561010),中证全指软件开发指数,1.49
港股通新经济ETF易方达(513320),恒生港股通新经济指数,1.48
浙江国资ETF华夏(515760),中证浙江国资创新发展指数,1.46
创业板300ETF天弘(159836),创业板300,1.45
深300ETF汇添富(159912),深证300价格,1.41
MSCI中国ETF银华(512380),MSCI中国A股人民币指数,1.4
国货ETF富国(561130),中证新华社民族品牌工程指数,1.39
创中盘88ETF国寿(159804),国证创业板中盘精选88指数,1.39
通信ETF南方(159511),中证通信服务指数,1.37
港股国企ETF国泰(159519),中证香港内地国有企业港元指数,1.37
5GETF博时(159811),中证5G产业50指数,1.32
金融地产ETF国投瑞银(159933),沪深300金融地产指数,1.32
养老ETF(516560),中证养老产业指数,1.32
湖北ETF博时(159743),中证湖北新旧动能转换指数,1.31
创新100ETF申万菱信(515200),中证研发创新100指数,1.27
粮食ETF(159698),国证粮食产业指数,1.25
湾创ETF工银(159976),粤港澳大湾区创新100指数,1.23
家电ETF易方达(159328),中证家电龙头指数,1.22
医疗ETF建信(159891),中证全指医疗保健设备与服务指数,1.21
云计算50ETF新华(560660),中证云计算50指数,1.19
港股通100ETF华安(513900),中华港股通精选100港元指数,1.18
A股ETF(563330),中证A股指数,1.18
智能消费ETF博时(515920),中证智能消费主题指数,1.17
央企ETF工银(510060),上证中央企业50指数,1.12
疫苗ETF(159643),国证疫苗与生物科技指数,1.09
港股通互联网ETF汇添富(159280),国证港股通互联网指数,1.08
